v1,v2,weight
30464,3493,2
30464,966,2
30464,4427,2
30464,4153,2
3493,966,196
3493,4427,40
3493,4153,4
4427,966,135
1232,30464,2
1232,3493,71
1232,966,188
1232,4427,44
1232,4153,2
4153,966,4
4153,4427,3
2658,438,2
2658,966,2
2658,44,2
438,966,219
438,44,15
44,966,41
27961,4427,8
27961,3493,6
27961,966,16
4419,966,247
3493,4419,56
3493,42141,2
1232,4419,41
1232,42141,2
42141,4419,2
42141,966,2
4419,4427,45
10845,966,37
345,4427,20
1059,345,1
1059,4427,1
1747,4427,1
1747,966,1
1747,438,1
438,4427,30
4423,966,52
4419,4423,23
4419,8127,1
4423,8127,1
4200,4419,3
4200,966,9
4200,4423,1
4200,8127,1
1138,4419,32
1138,966,105
1138,4423,10
1138,4200,1
1138,188,3
1138,8127,1
188,4419,5
188,966,9
188,4423,2
188,4200,1
188,8127,1
8127,966,1
680,966,16
28456,966,1
28456,680,1
28456,3541,1
170,966,5
170,680,1
170,28456,1
170,3541,2
1202,966,13
1202,680,2
1202,28456,1
1202,170,1
1202,3541,7
3541,966,104
3541,680,3
4419,805,20
805,966,63
39473,4419,1
39473,805,2
39473,966,2
1138,805,12
1138,39473,1
1138,179,5
1138,3479,7
1138,345,15
179,4419,8
179,805,3
179,966,22
179,39473,1
179,3479,3
179,345,1
1013,4419,1
1013,805,1
1013,966,3
1013,39473,1
1013,1138,1
1013,179,1
1013,3479,1
1013,345,1
3479,4419,12
3479,805,2
3479,966,42
3479,39473,1
345,4419,15
345,805,5
345,966,67
345,39473,1
345,3479,4
4419,979,1
966,979,1
167,4419,14
167,966,34
167,30317,1
167,979,1
167,3541,2
167,314,1
167,38300,1
30317,4419,1
30317,966,1
30317,979,1
30317,3541,1
30317,314,1
30317,38300,1
1332,4419,1
1332,966,1
1332,167,1
1332,30317,1
1332,979,1
1332,3541,1
1332,314,1
1332,38300,1
3541,4419,22
3541,979,1
3541,38300,1
314,4419,7
314,966,12
314,979,1
314,3541,5
314,38300,1
38300,4419,1
38300,966,1
38300,979,1
1078,4419,7
1078,3541,1
1078,966,12
3541,438,33
3734,438,2
3734,966,2
3008,966,1
3008,42291,1
3008,3541,1
3008,438,1
42291,966,1
42291,438,1
3541,42291,1
1174,966,1
870,966,8
4427,870,2
626,966,22
3541,626,5
1232,137,2
1232,643,12
137,643,2
137,966,10
643,966,54
805,988,5
966,988,28
4427,805,11
4427,7663,13
4427,988,4
7663,805,3
7663,966,89
7663,988,5
1211,805,2
1211,966,3
1211,4427,2
1211,7663,3
1211,988,2
11429,966,2
11429,28904,1
11429,4427,1
11429,64815,1
11429,1746,1
11429,3541,2
11429,345,1
28904,966,1
28904,4427,1
28904,64815,1
28904,3541,1
28904,345,1
4427,64815,6
64815,966,20
1138,11429,1
1138,28904,1
1138,4427,26
1138,64815,3
1138,1746,1
1138,3541,10
1746,966,5
1746,28904,1
1746,4427,1
1746,64815,2
1746,3541,3
1746,345,1
3541,4427,13
3541,64815,9
345,64815,2
345,3541,5
6624,966,2
6624,69461,1
1666,6624,1
1666,4419,1
1666,3812,1
1666,966,2
1666,3541,1
1666,69461,2
1666,630,1
1666,4349,1
4419,6624,1
4419,69461,1
4419,630,1
3812,6624,1
3812,4419,3
3812,966,3
3812,69461,1
3812,630,1
3812,4349,1
107,6624,1
107,1666,1
107,4419,1
107,3812,1
107,966,5
107,146,1
107,3541,2
107,69461,1
107,630,1
107,121,1
107,4349,1
146,6624,1
146,1666,1
146,4419,1
146,3812,1
146,966,1
146,3541,1
146,69461,1
146,630,1
146,4349,1
3541,6624,1
3541,3812,1
3541,69461,1
3541,630,1
3541,4349,1
69461,966,2
630,6624,1
630,966,1
630,69461,1
121,6624,1
121,1666,1
121,4419,1
121,3812,1
121,966,3
121,146,1
121,3541,1
121,69461,1
121,630,1
121,4349,1
4349,6624,1
4349,4419,1
4349,966,1
4349,69461,1
4349,630,1
11002,339,1
11002,966,3
339,966,9
793,966,15
179,793,1
10845,793,1
10845,179,3
1232,3541,19
1163,1232,2
1163,3541,5
1163,966,18
1163,64815,2
1232,64815,8
1171,966,4
1163,1171,1
14340,905,1
14340,3493,9
14340,167,1
14340,554,6
14340,5289,1
14340,64815,2
14340,3516,1
14340,966,25
14340,38092,1
14340,4559,1
14340,2647,1
14340,603,4
14340,2142,1
14340,3301,1
14340,3819,1
1413,14340,1
1413,905,1
1413,3493,17
1413,167,1
1413,554,1
1413,5289,1
1413,64815,2
1413,3516,1
1413,966,31
1413,38092,1
1413,4559,1
1413,2647,1
1413,603,1
1413,2142,1
1413,3301,1
1413,3819,1
905,966,6
3493,905,1
3493,554,17
3493,5289,1
3493,64815,3
3493,3516,1
3493,38092,1
3493,4559,1
3493,603,7
3493,3819,3
167,905,5
167,3493,8
167,554,3
167,5289,1
167,64815,2
167,3516,1
167,38092,1
167,4559,1
167,2647,1
167,603,5
167,2142,1
167,3301,1
167,3819,1
1193,14340,1
1193,1413,1
1193,905,5
1193,3493,1
1193,167,5
1193,554,2
1193,5289,1
1193,64815,2
1193,1204,1
1193,3516,1
1193,966,5
1193,38092,1
1193,4559,1
1193,2647,1
1193,603,2
1193,2142,1
1193,3301,1
1193,3819,1
554,905,2
554,64815,3
554,966,64
554,603,7
5289,905,1
5289,554,1
5289,64815,1
5289,966,2
5289,603,1
64815,905,2
1204,14340,1
1204,1413,1
1204,905,1
1204,3493,1
1204,167,1
1204,554,1
